Region,EN.ATM.PM25.MC.ZS,EN.POP.DNST,IS.AIR.PSGR,NE.TRD.GNFS.ZS,NY.GDP.PCAP.PP.CD,SH.DTH.COMM.ZS,SH.DTH.NCOM.ZS,SH.DYN.NCOM.ZS,SH.STA.BASS.ZS,SH.TBS.CURE.ZS,SH.TBS.DTEC.ZS,SH.TBS.INCD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SL.TLF.CACT.ZS,SM.POP.TOTL,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL,SP.URB.TOTL.IN.ZS,ST.INT.ARVL
China Inner Mongolia,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Jiangsu,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Jiangxi,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Jilin,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Liaoning,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Macau,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Ningxia,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Qinghai,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Shaanxi,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Shandong,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Shanghai,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Shanxi,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Sichuan,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Tianjin,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Tibet,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Xinjiang,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Yunnan,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Zhejiang,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
Colombia,96.338151,43.46885714,30909723,38.36076412,13800.53251,10.3,74.1,15.9,84.4391972,75,80,31,832.6895424,19.58344965,70.8239975,133134,89.3,190.835,5.942,74.2,84.55657,72.78449,68.67422522,7.039004185,48228697,79.764,2978000
Congo (Brazzaville),100,14.62854466,657927,165.6458629,5919.719974,57.4,33.3,17,15.00932852,71,52,379,201.4979318,32.4601177,69.49199677,392996,244.476,279.972,7.556,64.112,65.1322,59.60912,54.20628115,3.365909688,4995648,65.543,363000
Congo (Kinshasa),100,33.61047132,476353,59.33243096,867.6336477,62.8,27.2,19.4,19.71368663,89,48,324,32.28092372,36.75993686,63.91799927,545694,235.692,284.355,10.187,59.205,60.57097,54.72243,50.63821533,3.017729697,76196619,42.74,354000
Costa Rica,99.97998602,94.1608304,1525922,62.5182964,15740.60049,6.5,83.1,11.6,97.1485496,85,80,11,1233.474792,22.73607069,61.76399994,421697,59.535,111.808,4.882,79.634,89.83292,82.95548,68.79030386,8.901064342,4807852,76.862,2660000
Cote d'Ivoire,100,72.66815094,642893,71.96487785,3461.989199,53.5,36.3,29.3,29.93183806,80,61,159,181.6623235,36.01868035,57.88000107,2175399,377.062,415.854,12.539,53.053,46.55696,41.97265,54.41241204,2.885102053,23108472,49.444,1441000
Croatia,100,75.11801287,1782666,93.90497452,23008.18872,2,92.8,17.2,97.46612845,10,87,13,1620.400444,15.50610177,52.88999939,576883,56.191,132.062,12.9,77.27560976,90.68647,79.09476,66.28886671,18.88316758,4203604,56.155,12683000
Cuba,100,110.1848875,1294458,31.61373991,25710.01612,8.3,83.8,16.6,90.81850737,83,87,7,3135.224186,9.64398217,54.2879982,13336,70.921,107.558,7.898,79.57,88.45286,83.23429,69.80653028,13.90533923,11461432,76.896,3506000
Cyprus,100,125.6477273,23405,128.8232516,31578.35443,4.4,91.2,11.5,99.36966086,56,87,6.2,2147.982971,44.34233575,62.63299942,196167,34.322,68.965,6.842,80.344,93.58158,88.14533,70.27179507,12.83281007,1160985,66.946,2659000
Czechia,99.82828388,136.589289,3378028,156.0998637,33691.42424,5.1,90.1,15.5,99.13616018,69,87,5.5,2425.848982,14.82839462,59.62099838,405093,52.944,112.133,10.5,78.57804878,90.8669,81.03392,66.87473748,17.99453816,10546059,73.477,8707000
Denmark Faroe Islands,75.18744118,135.3532508,117222850,104.0482116,49058.49608,6.3,90.1,11.7,99.5972302,50,87,6.5,5021.768695,13.67476666,62.02299881,572520,51.397,82.945,9.2,80.70243902,90.9804,85.97495,64.10939592,19.0474441,5683483,87.526,10424000
Denmark Greenland,75.18744118,135.3532508,117222850,104.0482116,49058.49608,6.3,90.1,11.7,99.5972302,50,87,6.5,5021.768695,13.67476666,62.02299881,572520,51.397,82.945,9.2,80.70243902,90.9804,85.97495,64.10939592,19.0474441,5683483,87.526,10424000
Denmark,75.18744118,135.3532508,117222850,104.0482116,49058.49608,6.3,90.1,11.7,99.5972302,50,87,6.5,5021.768695,13.67476666,62.02299881,572520,51.397,82.945,9.2,80.70243902,90.9804,85.97495,64.10939592,19.0474441,5683483,87.526,10424000
Diamond Princess,100,16.740504,5400896,59.69512912,14657.78289,15.3,75,14.4,87.48768636,90,80,74,1020.546414,28.20843254,41.4620018,242391,84.44,107.191,4.773,75.86,85.06557,81.0472,65.47719967,5.869785076,39871528,70.848,1710000
Djibouti,100,40.0092321,553322,107.5167473,10651.22879,47,42.9,19.5,51.37805815,85,80,362,146.6987696,20.38418935,62.82400131,112351,228.307,275.191,8.365,62.26,64.24314,57.98556,63.8921776,4.100326284,927414,77.417,1388000
Dominica,100,97.54933333,3496190,107.713772,10614.67485,7.9,85.5,16.4,77.8927615,88,87,11,577.6188423,31.17352857,46.95700073,6720,70.65,112.036,6.357,75.525,87.16133,80.28619,68.69824274,7.609622109,73162,69.579,75000
Dominican Republic,99.97859822,217.9340509,14463,53.9379181,14306.62229,16.8,71.1,19.1,82.69698174,80,80,53,860.5814557,42.85167309,63.5530014,415564,119.214,204.02,6.081,73.673,81.0507,70.5798,63.38848071,6.652676562,10528394,78.566,5600000
Ecuador,99.38916952,65.00389757,5677816,45.24387715,11479.89563,14.7,72.5,13.4,86.13821596,77,80,39,983.0623625,43.86994206,66.56300354,387513,86.029,161.783,5.127,76.102,85.41347,76.71084,64.27652046,6.704207932,16144368,63.398,1544000
Egypt,100,94.206813,11109554,34.84594296,10783.06539,10.5,83.7,28.2,93.16947984,85,58,15,496.9782118,61.95896546,48.34899902,491643,111.018,188.04,5.963,71.304,80.34685,70.10624,61.79991544,5.063221962,93778172,42.785,9139000
El Salvador,100,304.6562741,2597649,76.11860856,7496.810405,10.9,73.3,14.1,91.12507367,92,80,49,573.4180515,27.84884857,58.78099823,42045,103.002,261.317,6.691,73.267,83.7751,66.27786,63.76107766,7.931148433,6312478,69.7,1402000
Equatorial Guinea,100,41.90335116,400758,98.87805917,29420.64697,53.2,36,22,74.53794939,43,63,172,767.6874496,72.0174482,62.65299988,10825,308.714,348.893,10.344,57.434,55.18062,49.93255,59.68373024,2.891468271,1175389,70.616,897000
Eritrea,100,136.3633388,53074,107.4158555,1547.209325,43.8,44.4,24.2,11.25752675,90,61,70,50.63569127,59.87436473,80.55999756,15941,218.953,292.609,7.071,64.636,66.17926,56.92451,55.18041334,2.789261463,7416802,40.1,114000
Estonia,0,30.26011042,512389,150.6825544,29212.94887,2.8,92.9,16.9,99.60883236,83,87,18,1860.325048,22.77200698,62.1969986,202348,62.825,169.877,11.6,77.5902439,89.81784,73.36052,65.04769558,18.82179331,1315407,68.416,2961000
Eswatini,100,76.68668605,553322,99.73879374,8285.947663,54.7,35.8,26.6,58.02583569,80,80,404,627.2769568,11.37612927,51.95899963,31579,362.131,507.511,9.861,57.107,53.5015,37.63388,59.24400934,3.109450945,1319011,23.3,873000
Ethiopia,100,99.873033,7074779,39.65612414,1637.334132,51,37.6,18.4,7.07891807,84,71,192,64.90913139,38.37740162,80.46900177,1072949,198.692,250.154,6.997,65.037,68.87692,61.91884,54.90885012,3.480397957,99873033,19.428,864000
Fiji,99.97864842,48.83136289,1336976,105.5114754,9053.987331,10.3,84.2,30.8,95.67704656,86,80,51,320.0539774,21.02604494,58.12799835,13751,137.366,234.35,6.992,70.117,78.01626,64.66633,65.42438539,5.831200842,892149,54.726,755000
Finland,0,18.03011089,13035848,73.1814891,42220.95767,1.2,93.4,10.5,99.44792464,36,87,5.6,4097.13097,19.73217391,58.82600021,315881,43.26,93.675,9.6,81.4804878,93.02422,84.4549,63.34497514,20.26446352,5479531,85.225,2622000
France French Guiana,90.41211847,121.6190587,65039503,61.75169393,40833.24207,6,87.5,10.8,98.65200403,79,83,8.4,4666.180695,9.76121411,55.57799911,7784418,49.376,101.499,8.9,82.32195122,92.41071,84.67227,62.79642053,18.93844568,66593366,79.655,84452000
France French Polynesia,90.41211847,121.6190587,65039503,61.75169393,40833.24207,6,87.5,10.8,98.65200403,79,83,8.4,4666.180695,9.76121411,55.57799911,7784418,49.376,101.499,8.9,82.32195122,92.41071,84.67227,62.79642053,18.93844568,66593366,79.655,84452000
France Guadeloupe,90.41211847,121.6190587,65039503,61.75169393,40833.24207,6,87.5,10.8,98.65200403,79,83,8.4,4666.180695,9.76121411,55.57799911,7784418,49.376,101.499,8.9,82.32195122,92.41071,84.67227,62.79642053,18.93844568,66593366,79.655,84452000
France Martinique,90.41211847,121.6190587,65039503,61.75169393,40833.24207,6,87.5,10.8,98.65200403,79,83,8.4,4666.180695,9.76121411,55.57799911,7784418,49.376,101.499,8.9,82.32195122,92.41071,84.67227,62.79642053,18.93844568,66593366,79.655,84452000
France Mayotte,90.41211847,121.6190587,65039503,61.75169393,40833.24207,6,87.5,10.8,98.65200403,79,83,8.4,4666.180695,9.76121411,55.57799911,7784418,49.376,101.499,8.9,82.32195122,92.41071,84.67227,62.79642053,18.93844568,66593366,79.655,84452000
France New Caledonia,90.41211847,121.6190587,65039503,61.75169393,40833.24207,6,87.5,10.8,98.65200403,79,83,8.4,4666.180695,9.76121411,55.57799911,7784418,49.376,101.499,8.9,82.32195122,92.41071,84.67227,62.79642053,18.93844568,66593366,79.655,84452000
France Reunion,90.41211847,121.6190587,65039503,61.75169393,40833.24207,6,87.5,10.8,98.65200403,79,83,8.4,4666.180695,9.76121411,55.57799911,7784418,49.376,101.499,8.9,82.32195122,92.41071,84.67227,62.79642053,18.93844568,66593366,79.655,84452000
France Saint Barthelemy,90.41211847,121.6190587,65039503,61.75169393,40833.24207,6,87.5,10.8,98.65200403,79,83,8.4,4666.180695,9.76121411,55.57799911,7784418,49.376,101.499,8.9,82.32195122,92.41071,84.67227,62.79642053,18.93844568,66593366,79.655,84452000
France St Martin,90.41211847,121.6190587,65039503,61.75169393,40833.24207,6,87.5,10.8,98.65200403,79,83,8.4,4666.180695,9.76121411,55.57799911,7784418,49.376,101.499,8.9,82.32195122,92.41071,84.67227,62.79642053,18.93844568,66593366,79.655,84452000
France,90.41211847,121.6190587,65039503,61.75169393,40833.24207,6,87.5,10.8,98.65200403,79,83,8.4,4666.180695,9.76121411,55.57799911,7784418,49.376,101.499,8.9,82.32195122,92.41071,84.67227,62.79642053,18.93844568,66593366,79.655,84452000
Gabon,100,7.490879808,137331,73.94978146,17981.2212,49.9,41,14.8,40.93038599,50,55,537,480.2949881,25.90465861,51.32300186,268384,219.393,257.632,7.818,65.685,68.24473,62.60668,59.72391104,4.514668359,1930175,88.118,363000
Gambia,100,195.4140316,3036,48.07995631,1668.815203,55.2,33.9,20.6,41.69376093,82,74,174,79.50438266,23.4721344,59.47800064,192540,234.236,289.177,8.202,60.954,62.7792,55.79977,52.00117315,2.329400938,1977590,59.228,135000
Georgia,100,65.03201652,232263,107.0081835,9617.541676,2.8,93.4,24.9,84.87671725,84,80,99,717.1269015,57.32433505,68.12000275,168802,78.849,226.521,13.252,73.096,86.82378,67.30714,66.67073261,14.61547494,3725276,57.448,5256000
Germany,95.95259594,234.1536686,117222850,85.71197103,47979.4842,4.9,91.1,12.5,99.2191241,65,87,8,5328.899379,12.69157315,60.27899933,12005690,50.173,92.46,11.3,80.64146341,92.12171,85.40467,65.76367646,21.11756322,81686611,77.2,34970000
Ghana,100,121.2218555,390457,75.58639399,4083.472352,48.4,41.8,20.9,14.27950593,85,33,160,251.4542761,35.80306196,67.37000275,399471,224.959,264.306,8.314,62.448,64.44729,58.99744,57.81739293,3.386401268,27582821,54.086,897000
Greece,100,83.94788984,11237054,63.05516078,26902.52532,9.8,86.9,12.3,98.96396396,72,87,4.5,2180.174112,36.15921171,53.08800125,1242514,42.075,93.011,11.2,81.03658537,93.31577,85.65969,65.50620443,19.94783291,10820883,78.046,23599000
Grenada,100,314.1852941,1466527,114.7213994,13626.11294,13,80.7,21.7,78.30225647,80,87,5.4,660.7986758,57.83307325,59.32899857,7057,97.554,185.046,7.129,73.531,83.81447,72.18969,66.35930464,7.156698464,106823,35.997,155000
Guatemala,100,151.6650709,93129,51.30626369,7788.497235,24.8,59.2,14.9,67.36292035,87,80,26,428.3512704,57.82038639,61.42699814,76352,113.667,213.958,4.861,73.15,81.46964,70.28863,59.26100031,4.507320106,16252429,49.971,1865000
Guinea,100,49.20858294,122590,72.44272594,1877.852605,57.9,33.3,22.6,21.95227203,80,57,177,108.7792313,49.3524036,64.76200104,228413,249.967,275.775,9.582,59.419,59.67842,56.03017,54.29486071,3.054955894,12091533,35.141,35000
Guinea-Bissau,100,62.96322902,476353,59.78153675,1544.827265,64.2,28.2,19.8,21.46600375,79,32,373,100.4242849,33.85702596,72.69400024,22333,244.5,296.077,10.781,57,58.52201,51.42892,55.42940347,2.876885174,1770526,42.123,43800
Guyana,99.99980863,3.904058928,967629,100.267981,7558.051742,20.2,67.1,30.6,86.16405304,68,80,93,333.9914065,40.50667218,57.14400101,15384,170.683,248.061,8.164,66.536,71.59629,61.97547,65.14194927,5.033219954,768514,26.441,207000
Haiti,100,388.6451742,3036,70.55168963,1763.485249,31.3,56.6,26.7,30.54379074,80,78,194,94.46340136,41.73006958,67.14199829,39529,212.628,274.619,8.655,63.055,66.1565,58.16778,61.62776031,4.630876437,10711061,52.427,516000
Holy See,100,16.740504,5400896,59.69512912,14657.78289,15.3,75,14.4,87.48768636,90,80,74,1020.546414,28.20843254,41.4620018,242391,84.44,107.191,4.773,75.86,85.06557,81.0472,65.47719967,5.869785076,39871528,70.848,1710000
Honduras,99.99887667,80.08605774,276689,107.2644054,4613.124161,14.6,65.3,14,79.77644697,86,80,41,356.4359574,49.1517788,65.69499969,28070,120.104,172.935,4.806,73.376,80.68469,73.19868,62.59444299,4.414468795,8960829,55.165,880000
Hungary,100,108.7266983,20043787,169.8382284,26356.31374,2,93.5,23.3,97.98953148,71,87,10,1859.518082,28.8774618,54.81200027,449632,85.926,177.627,13.4,75.56829268,86.33516,71.58703,68.0632466,17.49568808,9843028,70.5,4929000
Iceland,11.98495478,3.299900249,4134980,96.72450276,48728.09936,4.5,89.9,9.3,98.77744156,100,87,2.4,3971.073892,17.63640536,77.01899719,37522,43.185,67.533,6.6,82.46829268,93.44655,90.27377,65.97293508,13.71414383,330815,93.7,1289000
India,100,440.286016,98927860,41.92291387,6139.033446,27,61.7,23.5,44.15112275,72,59,217,221.7634084,64.66441011,52.20800018,5240960,141.252,214.641,7.303,68.302,74.26744,66.40889,65.70604552,5.636245344,1309053980,32.777,13284000
Indonesia,96.1423725,142.5073903,90095131,41.93764024,11072.53789,21.5,72.5,26.5,67.88660816,85,39,325,331.6426852,40.65642904,66.6289978,328846,145.664,205.464,7.096,69.025,76.20152,66.87147,67.04622339,5.09506792,258162113,53.313,10407000
Iran,100,48.72448181,13873256,39.0173007,17622.69462,8.2,81.2,15.1,88.28982193,87,80,16,1329.564222,40.93178035,42.79600143,2726420,62.013,101.71,4.546,75.73,88.1426,83.50619,71.33326437,5.034630143,79360487,73.358,5237000
Iraq,100,83.19124394,2142554,76.75791506,15740.86238,17,53.4,21.6,85.6592985,91,52,43,493.7178706,76.46998127,42.52899933,353881,129.796,196.039,5.096,69.672,78.10854,68.40153,56.26509439,3.073806039,36115649,69.921,9139000
Ireland,2.718190834,68.25311366,115928738,215.4376787,68959.55175,5.2,90.5,10.5,92.17795166,57,87,7.2,5132.812597,13.57957241,61.95299911,746260,44.687,84.688,6.4,81.45365854,92.6974,88.14851,65.03492367,13.22986902,4701957,62.538,9528000
Israel,100,387.2504621,6331198,59.40223182,35514.54496,10,85.8,9.7,100,83,87,4,2750.48431,22.67203172,64.1309967,2011727,39.687,72.987,5.3,82.05121951,93.3102,88.80072,60.91708561,11.22370544,8380100,92.179,2799000
Italy,96.75457394,206.4682872,28603919,56.93130634,36836.42634,4.7,91.5,9.8,99.28144435,65,87,6.7,3288.745489,23.13747938,48.36600113,5788875,50.173,92.46,10.7,82.54390244,94.08739,88.99374,63.91041864,22.36287072,60730582,69.565,50732000
Jamaica,100,265.1831948,92836,76.10510996,8651.279091,11,80,14.8,85.37371383,23,80,4.5,487.7806742,18.87343839,65.44000244,23167,100.029,164.462,6.928,75.836,84.67372,77.00868,67.242945,9.303173402,2871934,54.833,2123000
Japan,88.66865042,348.7519201,114128000,35.59640126,40446.87919,12.8,81.9,8.6,100,53,87,16,4397.891233,12.94767104,59.99000168,2043877,37.102,69.979,10.3,83.79390244,94.03203,88.18294,60.99341482,26.01536466,127141000,91.381,19737000
Jordan,100,103.1685289,3065145,98.07690674,9068.304275,11.1,77.9,19.4,96.70805802,85,80,5.8,568.2245546,25.14934289,39.30899811,3112026,92.476,127.408,3.829,74.182,84.36768,78.29796,60.20962078,3.762983249,9159302,90.256,3761000
Kazakhstan,92.6415526,6.498057562,5081632,53.04972881,25123.31574,5,85.4,28.6,97.80530797,91,99,80,764.4020897,31.60665337,70.91799927,3546778,119.634,297.51,7.46,72,80.96095,58.26368,66.47015761,6.753908585,17542806,57.191,6430000
Kenya,100,82.99585164,4569473,44.21131778,3028.689208,65.2,25.4,13.3,29.84467981,87,45,380,147.6614074,28.81699948,66.31800079,1084357,183.125,264.091,5.841,66.695,71.77074,62.05029,56.07473911,2.580386393,47236259,25.658,1114000
"Korea, South",100,523.5255477,66093149,83.71212153,35760.73444,9.7,79.7,8.3,99.88753714,84,94,79,2502.25111,33.99995998,62.46099854,1327324,37.943,88.887,5.4,82.02439024,94.20414,86.5523,73.12993078,12.96546591,51014947,81.634,13232000
Kuwait,100,220.8638608,3752995,98.69986337,73131.60662,14.7,72,17.6,100,87,87,22,2927.440047,14.37861272,74.98600006,2866136,57.472,93.356,2.681,74.577,88.14149,83.78713,77.04999296,2.064107014,3935794,100,1909000
Kyrgyzstan,99.10894838,31.05787278,967629,110.9615707,3457.707525,10,81.9,26.2,96.58607827,82,83,144,252.7782406,55.43338973,62.4109993,204382,109.359,249.094,5.8,70.65121951,81.86729,63.7102,64.62153227,4.27911067,5956900,35.777,4.00E+06
Laos,100,28.87334055,1181188,85.79862603,6146.310386,33,58,27.1,72.59428683,88,37,182,150.3693478,45.36532622,78.13200378,22244,173.589,217.661,6.754,66.335,71.16927,64.44396,62.40254491,3.885373382,6663967,33.108,3543000
Latvia,92.27308655,31.80326472,2527368,121.3474253,24723.56397,2.5,91.7,22.2,92.8639823,84,87,40,1393.638929,42.07074373,60.24200058,263126,85.92,234.554,14.4,74.4804878,86.47492,65.88464,65.58540004,19.28364204,1977527,67.98,2024000
Lebanon,100,571.9920821,2591297,72.39802241,14176.46205,3.7,89.7,17.9,95.35936538,83,87,13,1112.756008,33.74462347,46.84400177,1997776,50.412,70.223,4.591,79.409,91.14229,87.27164,67.86643172,8.142915663,5851479,88.106,1518000
Liberia,100,46.7153343,657927,126.0176896,1301.299399,60.9,29.5,17.2,16.88947781,77,42,308,132.6585879,46.80536148,56.19499969,113779,221.505,260.52,8.12,62.007,64.32182,58.9641,54.59133114,3.023543538,4499621,49.82,363000
Libya,100,3.543514214,1430460,114.2459221,15856.56612,8.4,70.4,19.7,99.7,61,39,40,339.5523941,24.01657599,52.64199829,771146,97.268,172.311,5.201,71.776,83.13211,72.11855,67.07490271,4.32301436,6234955,79.27,520000
Liechtenstein,100,233.76875,4911730,49.55879659,11832.95181,7.6,82.5,17.6,99.95,85,69,65,463.7359234,48.93215272,53.52899933,23493,74.052,198.027,6.7,82.65609756,87.63841,72.76062,66.12595611,9.298968236,37403,14.303,48600
Lithuania,99.5312153,46.36727853,1363946,152.1257799,28910.3621,3.3,90,22.2,93.62184087,79,87,55,1853.699283,31.83880238,59.26399994,136036,85.048,245.418,14.4,74.32195122,86.51445,64.3293,66.718703,18.6850896,2904910,67.23,2071000
Luxembourg,79.97926683,234.4049383,1830972,416.3892358,102780.4409,4.8,88.6,9.6,97.61098261,86,87,6.1,6420.317415,10.99794417,59.36199951,249325,49.464,66.691,7,82.29268293,92.36945,87.1184,69.62792528,13.99422311,569604,90.179,1090000
Madagascar,100,41.65364043,458572,67.59478052,1470.793357,47.2,42.4,23.1,9.69366814,82,52,236,80.71873523,25.23195827,86.53700256,32075,193.34,243.575,6.475,65.539,69.58119,62.52618,55.52256805,2.834053421,24234088,35.193,244000
Malaysia,93.50817804,93.51135291,50345820,133.4597022,26717.46361,18,72.9,17.3,99.57400673,78,87,88,1037.658054,35.47957674,64.33799744,2514243,85.207,158.239,4.865,75.143,85.97879,76.27029,69.17357283,5.86259777,30723155,74.213,25721000
Maldives,6.87E-08,1394.676667,1313533,143.9201297,14728.14699,8.3,85.2,13.9,95.86881806,83,80,46,1298.722179,19.548936,66.44599915,94086,56.521,80.203,3.377,77.042,88.57756,84.90335,72.48705196,4.102743049,418403,38.529,1234000
Mali,100,14.31572542,122590,63.63964146,2049.704885,61.5,29.6,24.8,31.26833404,77,68,57,84.02325289,34.17111295,71.05899811,363145,258.057,277.124,10.667,57.478,57.34182,54.38304,49.53643267,2.533955846,17467905,39.991,159300
Malta,100,1390.790625,1583046,272.3983822,35667.97268,6,90.8,10.8,99.96135673,79,87,8.6,3389.006631,37.10349896,54.19499969,41442,40.399,68.847,7.7,81.89756098,92.51829,88.80055,67.21988887,18.36671219,445053,94.414,1783000
Mauritania,100,4.057767537,248158,109.364892,3846.465821,54.4,36.2,18,44.62062434,71,49,107,177.0806661,48.23745512,46.09000015,138162,181.083,226.084,7.96,63.082,68.11302,61.35498,56.66070748,3.100201538,4182341,51.089,1006600
Mauritius,100,621.9729064,1466527,107.6368711,20163.02494,6.8,88,22.8,93.14913303,91,80,13,1147.854245,49.57672733,59.32899857,28585,93.74,192.135,7.7,74.35317073,84.71492,71.61814,70.64565971,9.95405953,1262605,41,1151000
Mexico,99.71526554,64.76038427,46966763,71.16631448,17699.15938,9.7,79.7,15.9,89.21839255,80,80,21,974.4987939,40.18865099,61.33800125,1193155,79.743,141.938,4.824,76.933,85.97276,78.24158,66.04583225,6.481776541,125890949,79.285,32093000
Moldova,100,123.806319,1005936,116.6681804,5069.489442,4.4,90.1,27.5,78.39894398,80,87,102,514.257167,46.18741009,44.10300064,142904,98.788,243.659,11.424,71.468,82.44282,62.86941,74.33474833,9.938292859,3554108,42.49,94400
Monaco,100,19153.5,60382,329.0478997,87298.16826,21.5,75,10,100,79,87,0,3406.496395,6.0530705,68.90000153,21042,39.135,64.706,7.6,82.74390244,93.52881,89.33618,72.81095276,11.68614963,38307,100,331000
Mongolia,97.95178478,1.916164809,529311,90.28701288,12187.76943,10.2,79,30.4,59.2215303,85,37,428,471.8075028,39.09423902,60.33800125,17620,129.494,296.188,6.308,69.087,78.26584,58.25659,67.33519726,3.884809483,2976877,68.23,386000
Montenegro,100,46.25717472,526980,102.6889774,16337.25576,1.5,94.8,20.9,95.90868712,93,87,15,802.0708307,39.56750809,50.9109993,82541,66.002,125.252,9.803,76.938,88.95011,79.71227,67.64802333,13.89367345,622159,65.806,1560000
Morocco,100,77.98190007,7043971,77.19803634,7792.029575,14.6,78.8,12.5,83.46606769,88,87,101,426.9096324,52.1063618,47.13899994,88511,66.033,75.794,5.145,75.573,87.43914,85.13372,65.94439462,6.396156666,34803322,60.809,10177000
Mozambique,100,35.61979069,676028,104.2060395,1194.243896,67.1,25.4,18.4,23.56073218,88,38,551,61.70759636,7.1097214,78.88600159,222928,297.015,368.151,10.381,57.714,56.65595,48.3409,51.6682898,3.132711007,28010691,34.4,1552000
